,Company Name,Job Role,Salary,Job Decription,Required Exp,posted_date
34,TECHNOPARK TRIVANDRUM,Sr. Frontend Engineer - Angular,NA,"We are looking for a Senior/ Lead Frontend Developer who can plan, design, and develop a complete front-end web application ensuring responsiveness, scalability, and high perf...",2 - 4 yrs,2020-11-02
35,TECHNOPARK TRIVANDRUM,Head - Production,NA,"Brief description :1)Manage overall production schedule including interdepartmental workflow, and monitor/oversee department budgets, schedules, and priorities.2) Always overs...",0 - 3 yrs,2020-11-02
36,TECHNOPARK TRIVANDRUM,2D Digital Animator,NA,"Brief description :Should possess a strong understanding of weight, locomotion, anatomy, dialogue, acting, appeal, and entertainment to bring the story to life.Experience in a...",0 - 3 yrs,2020-11-02
37,TECHNOPARK TRIVANDRUM,Sr. Backend Developer - Laravel,NA,"Brief description :We are looking for a Senior Backend Developer who can design, and develop a complete backend web application which effectively interacts with the frontend e...",3 - 4 yrs,2020-11-02
38,TECHNOPARK TRIVANDRUM,UX DESIGNER,NA,"Brief description :Minimum 4  years of experience in product, web, mobile, interaction design.Strong online portfolio with demonstrated examples of designing great user-center...",4 - 7 yrs,2020-11-02
39,TECHNOPARK TRIVANDRUM,UI DEVELOPER,NA,Brief description :We are looking for a UI Developer who is motivated to combine the art of design with the art of programming. Responsibilities will include translation of th...,5 - 8 yrs,2020-11-02
40,TECHNOPARK TRIVANDRUM,WordPress Developer,NA,"jobs@labglo.comBrief description :We are looking for multiple WordPress Developers experienced on WordPress / woocommerce / PHP/ MySQL, and Javascript. Hands on HTML5/CSS3/PHP...",1 - 6 yrs,2020-11-02
41,TECHNOPARK TRIVANDRUM,Senior Python Django Developer,NA,Brief description :Must able to understand the requirements and convert them into plan and prototype.Must be supportive with the team during the entire project development.Alw...,2 - 8 yrs,2020-11-02
42,TECHNOPARK TRIVANDRUM,Python Django Developer,NA,Brief description :Must able to understand the requirements and convert them into plan and prototype.Must be supportive with the team during the entire project development.Alw...,1 - 4 yrs,2020-11-02
43,TECHNOPARK TRIVANDRUM,Technical Project Manager (TPM),NA,"Brief description :The successful candidate will have diverse IT project experience, both large and small, and must be well-versed in the full systems development life cycle, ...",4 - 7 yrs,2020-11-02
44,TECHNOPARK TRIVANDRUM,2D Animator (Entry-Level),NA,Brief description :Open Positions: 5FRESHERS are most welcome but should have the preferred skills and confidence to face our preliminary evaluation test.PLEASE MENTION JOB CO...,0 - 1 yrs,2020-11-02
45,TECHNOPARK TRIVANDRUM,Social Media Manager,NA,"Brief description : Develop, implement and manage our social media strategy Define most important social media KPIs Manage and oversee social media content Measure the success...",2 - 5 yrs,2020-11-02
46,TECHNOPARK TRIVANDRUM,Unreal/Unity VR/AR Developer,NA,Brief description :Immediate RequirementWe are looking for Unreal/Unity VR/AR DeveloperRoles &Responsibilities1. Put your Unity expertise and developing skill sets to work...,0 - 3 yrs,2020-11-02
47,BP Incorporate,"franchisee  head payment on daily basis upto 15k,Director",Rs 5.00 - 50.50 Lacs p.a.,"franchisee HEAD REQUIREMENTS onspotoffer call 7291078357 pinnacle franchisee ECOMMERCE store 200+ online ecommerce brand RESPONSIBLE FOR SALES thousands of national, internati...",12 - 17 yrs,2020-11-02
48,QuEST Global Engineering Pvt Ltd,Software Engineer- Java & Front End,NA,19067BRSoftware Engineer- Java & Front EndThiruvananthapuram (Trivandrum)KeralaIndiaJob DescriptionRoles & Responsibilities:Develop applications using Java & Front...,2 - 3 yrs,2020-11-02
49,QuEST Global Engineering Pvt Ltd,Software Engineer- Java & Front End,NA,19130BRSoftware Engineer- Java & Front EndThiruvananthapuram (Trivandrum)KeralaIndiaJob DescriptionRoles & Responsibilities:Develop applications using Java & Front...,2 - 3 yrs,2020-11-02
50,BP Incorporate,client relationship SALES manager part/full time work,Rs 0.50 - 10.00 Lacs p.a.,jOB ROLE CRM ANYWHERE IN INDIAweekly payout upto 20k JOB profile:INCOMESALARY 80k PM ON REVENUE ONLY ALL TRAINING LEAD SUPPORT BY US .CREATE TEAM OF CRO Explain services offer...,7 - 12 yrs,2020-11-02
51,S M Placement,Inspection Engineer,NA,Job Description We are looking for an Facility Coordinator who can work with our company to fulfill the organizational goal and growth. Responsibilities The roles and responsi...,5 - 10 yrs,2020-11-02
52,M S INSTITUTE OF EDUCATION PRIVATE LIMITED,"MARKETING FIELD EXECUTIVES,Marketing Executive",Rs 1.45 - 2.40 Lacs p.a.,"GOOD COMMUNICATION SKILLS,OWN CONVEYANCE, SHOULD BE ABLE TO INDEPENDENTLY CO-ORDINATE WITH THE LOCALINSTITUTES AND ENCOURANGING THEM TO BECOME OUR BUSINESS PARTNER AND COLLECT...",1 - 2 yrs,2020-11-02
53,BP Incorporate,client relationship OFFICER part/full time work,Rs 0.50 - 5.00 Lacs p.a.,jOB ROLEweekly payout upto 10k by neft/upi JOB profile:Making calls for membership on the data provided by the CompanyExplain services offered by our company regarding recruit...,1 - 6 yrs,2020-11-01
54,TOONZ ANIMATION ACADEMY,Animatic Artist - Freelancers,NA,Job DescriptionReading the script and meeting the director to discuss the mood and overall theme of the story.Ability to create storytelling images/storyboards that are timed ...,3 - 5 yrs,2020-11-01
55,TOONZ ANIMATION ACADEMY,Project Manager,NA,Job SummaryResponsible for the overall management of the assigned projects.Lead and support team members for successful delivery of Projects.Following up with Artists and meet...,5 - 8 yrs,2020-11-01
56,TOONZ ANIMATION ACADEMY,Freelance Lighting Artist,NA,Description/ProfileJob SummaryStrong understanding of color theory and practical lighting conceptsSolid knowledge of working within a HDR pipeline and tasteful balancing of po...,3 - 6 yrs,2020-11-01
57,TOONZ ANIMATION ACADEMY,Freelance Rigging Artist,NA,"Job summaryExcellent technical skills and an in-depth knowledge or CG software such as Maya, Houdini, 3DsMax etc.An understanding of animation pipelines, and to be comfortable...",3 - 6 yrs,2020-11-01
58,TOONZ ANIMATION ACADEMY,Freelance Animatic Artist - 3D,NA,Job summaryStrong visual storytelling skillNeed strong poses knowledge with proper expressionStrong timing knowledgeStrong composition and camera angle knowledgeStrong editori...,3 - 6 yrs,2020-11-01
59,TOONZ ANIMATION ACADEMY,2D After Effects Animator,NA,"Job summaryShould possess strong understanding of weight, locomotion, anatomy, dialogue, acting, appeal, and entertainment to bring the story to life.Experience animating in a...",3 - 6 yrs,2020-11-01
60,TOONZ ANIMATION ACADEMY,Animation Director - 2D,NA,"Description/ProfileJob summaryAnimation Directors are responsible for the quality of the animation for delivering consistent performances by assigning, or casting, the appropr...",10 - 13 yrs,2020-11-01
61,TOONZ ANIMATION ACADEMY,Head Partner Relations,NA,"Description/ProfileJob DescriptionEstablish standards and guidelines for vendors, monitoring vendors to ensure these policies are being followed.Define and moderate internal a...",5 - 8 yrs,2020-11-01
62,TOONZ ANIMATION ACADEMY,Asset Manager,NA,Knowledge/Skill RequiredRigging and animation knowledge in Adobe Flash would be an advantage for this roleUnderstanding about 2D animation processCreative and technical skill ...,5 - 8 yrs,2020-11-01
63,Techversant,Associate Software Engineer-PHP,NA,"PHP Associate Software Engineer-PHP Technopark, Trivandrum, KeralaWhats Important to us:Fundamental to this role is a willingness to learn Golang and become an integral part o...",0 - 3 yrs,2020-11-01
64,Techversant,Team Lead-Golang,NA,"Golang Team Lead-Golang Technopark,Trivandrum, KeralaWe are seeking for a Team Lead- Golang. The successful applicant will understand the need to achieve a balance between inn...",4 - 7 yrs,2020-11-01
65,Techversant,Associate Business Development Executive,NA,"Business Development Associate Business Development Executive Technopark, Trivandrum, KeralaWe are seeking a Business Development Executive who will be responsible for driving...",0 - 3 yrs,2020-11-01
66,Techversant,Software Engineer/ Senior Software Engineer,NA,"React.Js Software Engineer/ Senior Software Engineer Technopark,Trivandrum, KeralaWe are seeking an experienced React.Js Developer. The successful applicant will understand th...",2 - 5 yrs,2020-11-01
67,Techversant,Assistant Manager- Client Acquisition (International),NA,"Client Acquisition ( International) Assistant Manager- Client Acquisition (International) Technopark, Trivandrum, KeralaWe are seeking an experienced Business Development pers...",3 - 6 yrs,2020-11-01
68,TECHNOPARK TRIVANDRUM,Chief Architect - eCommerce,NA,Brief description :Can you master and implement evolving technologies around digital commerce & marketplaces? Could you discuss enterprise transformation with Fortune 500 ...,15 - 18 yrs,2020-11-01
69,TECHNOPARK TRIVANDRUM,Senior UI Developer,NA,We are looking for creative and dependable self-motivated professionals to join our team as a Senior User Interface Developer. They should be able to take ownership applicatio...,6 - 9 yrs,2020-11-01
70,TECHNOPARK TRIVANDRUM,Magento Architect,NA,Brief description :Architect and propose Magento 2 solutions as per client requirements.Review business requirements working with other team members.Perform a technical analys...,12 - 15 yrs,2020-11-01
71,TECHNOPARK TRIVANDRUM,Data Scientist - III,NA,We are looking to fill a full-time Data Scientist position located in Trivandrum with 5  years experience focussed on cutting-edge machine learning technology. The successful ...,5 - 8 yrs,2020-11-01
72,TECHNOPARK TRIVANDRUM,Brand Manager,NA,Experience Min 2 years as Brand Manager/Associate Brand Manager-Max 5 yearsAnalyze brand positioning and consumer insightsShape and communicate our vision and missionTranslate...,5 - 8 yrs,2020-11-01
73,TECHNOPARK TRIVANDRUM,Business Development Executive/ Manager,NA,"Duties and Responsibilities: In this role, you will support business development efforts, with particular emphasis on building new business in an assigned product category: Pa...",2 - 5 yrs,2020-11-01
74,HUSYS CONSULTING LTD,Area Sales Manager Trivandrum,NA,"Area Sales Manager Trivandrum Business Development, Team management, market study, after sales campaigns Husys Consulting Limited Trivandrum 07/02/2018 06:42:44 Job Descriptio...",10 - 13 yrs,2020-11-01
75,CONNECTING 2 WORK,Test Automation Engineer (Selenium),NA,"-strong programming concepts-Strong testing skills Develop, maintain and execute automated test scripts using Selenium java Enhance existing automation framework developed in ...",5 - 8 yrs,2020-11-01
76,CONNECTING 2 WORK,Sr Designer  2D/ 3D,NA,Job Description The Designer is responsible for designing and detailing projects and being the teammate of their projects by ensuring timely deliverables to accomplish the cus...,0 - 3 yrs,2020-11-01
77,CONNECTING 2 WORK,Vue js Developer,NA,Job Description We are looking for an expert JavaScript developer who is highly skilled with Vue.js. Your primary focus will be developing user-facing web applications and com...,2 - 7 yrs,2020-11-01
78,CONNECTING 2 WORK,Node Js Developer,NA,Job Description We are looking for a Node.js Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the develo...,2 - 7 yrs,2020-11-01
79,CONNECTING 2 WORK,Angular Developer,NA,Job Description We are looking for an AngularJS Developer responsible for the client side of our service. Your primary focus will be to implement a complete user interface in ...,2 - 7 yrs,2020-11-01
80,CONNECTING 2 WORK,Public Relation Officer (PRO),NA,Job Description Public Relation Officer (PRO)Job briefPublic relations officers in health care settings are responsible for maintaining the desired image of a health care faci...,1 - 2 yrs,2020-11-01
81,CONNECTING 2 WORK,PHARMACISTS,NA,Job Description Job brief As a pharmacist you will be responsible for preparing and administering appropriate pharmaceuticals to patients. You will achieve this either by exec...,1 - 3 yrs,2020-11-01
82,APPLEXUS,SAP Senior Retail Consultant,NA,Job Description: Position SummaryThe Senior Retail Consultant will work with client staff and end-users to determine the functional requirements for the system within the SAP ...,5 - 8 yrs,2020-11-01
83,ACREATY MANAGEMENT CONSULTANT PRIVATE LIMITED,Drupal developer,NA,"Drupal developer Job DescriptionJob Description: Strong knowledge of Drupal  Good knowledge of front-end technologies, such as HTML, CSS, Bootstrap, Javascript, Jquery, Less. ...",8 - 11 yrs,2020-11-01
84,ACREATY MANAGEMENT CONSULTANT PRIVATE LIMITED,Drupal developer,NA,"Drupal developer Job DescriptionJob Description:Strong knowledge of DrupalGood knowledge of front-end technologies, such as HTML, CSS, Bootstrap, Javascript, Jquery, Less.Expe...",8 - 11 yrs,2020-11-01
85,ACREATY MANAGEMENT CONSULTANT PRIVATE LIMITED,SAP BASIS Consultant,NA,SAP BASIS Consultant Job Description Minimum 5 to 8 years of experience in SAP BASIS administration  Should have done at least one Database Migration to HANA as part of SOH or...,8 - 11 yrs,2020-11-01
86,ACREATY MANAGEMENT CONSULTANT PRIVATE LIMITED,SAP ABAP CONSULTANT,NA,"SAP ABAP CONSULTANT Job Description4  8 years of strong experience in SAP ABAP.Expert on Advance ABAP BADI (Business Add-In), IDOC (Intermediate Document) Extensions,ABAP Obje...",8 - 11 yrs,2020-11-01
87,RM EDUCATION SOLUTIONS INDIA PVT. LTD,Procurement Executive,NA,"Key Responsibilities Liaise with internal teams and our suppliers on any customer-focused, quality, delivery or invoice queries, supporting the teams objective to reduce the v...",3 - 6 yrs,2020-11-01
88,Lumicel Animation Studios,2D Flash Animators,NA,Lumicel Animation Studios is hiring talented and experienced 2D Digital Animators (Multiple Positions & Entry/Junior/Mid-range/Senior levels) for animating international t...,8 - 11 yrs,2020-11-01
89,Perfomatix,Lead Generation Specialist,NA,"Perfomatix is a fast growing technology company with operations in the USA, Singapore, India and Australia. We are a group of technology enthusiasts , innovators and disruptor...",0 - 2 yrs,2020-11-01
90,BP Incorporate,"freelancer counselor teachers engineers,B.TECH MBA",Rs 0.50 - 15.00 Lacs p.a.,jOB ROLEFREELANCER FRANCHISEE manager work from home /office(part/full time)basic need system/laptop/smartphone+ internet+ calling facility   Recruitment AND SALE of  for vari...,0 - 3 yrs,2020-11-01
91,BP Incorporate,Work from home and earn more than a full time employee,Rs 0.50 - 12.00 Lacs p.a.,jOB ROLEHR- Recruiter/manager work from home /office(part/full time)basic need system/laptop/smartphone+ internet+ calling facility   Recruitment of suitable candidate for var...,1 - 6 yrs,2020-10-31
92,mantis hr consulting,Android Developer,NA,"Android Developer - Trivandrum Trivandrum Location: Trivandrum, Kerala, IndiaResponsibilities Design and build advanced applications for the Android platform Collaborate with ...",0 - 3 yrs,2020-10-31
93,mantis hr consulting,Python / Django Developer,NA,"Python / Django Developer Trivandrum Trivandrum Location: Trivandrum, Kerala, IndiaWe are looking for a Python Web Developer responsible for managing the interchange of data b...",0 - 3 yrs,2020-10-31
94,iBoson Innovations,Graphics Programmer,NA,Graphics Programmer iBoson Innovations is looking for expert graphic programmers to join our development team. The concern person will be responsible for creating realistic an...,0 - 3 yrs,2020-10-31
95,TECHNOPARK TRIVANDRUM,Trainee Java Developer,NA,"Brief description :1.Having Knowledge of middle tier development for a web application using Core Java, J2EE,Spring Boot, Hibernate and MVC framework2. Understanding in Python...",0 - 3 yrs,2020-10-31
96,TECHNOPARK TRIVANDRUM,Architect,NA,ArchitectJob code:Company Profile:ARS Traffic & Transport Technology has been providing traffic and transport technology solutions to businesses and government bodies sinc...,0 - 3 yrs,2020-10-31
97,TECHNOPARK TRIVANDRUM,IAM Developer,NA,"Experience :2-5 years (Relevant Saviynt experience)Responsibilities:Deploy, implement and integrate Saviynt with critical applications and infrastructureFollow approved life c...",2 - 5 yrs,2020-10-31
98,TECHNOPARK TRIVANDRUM,Manual Tester with Test Automation (C#),NA,Brief description :Manual Tester with 3-5 years of experience working with web-based software solutions having excellent communication and interpersonal skills.Working Knowled...,3 - 5 yrs,2020-10-31
99,Experion Technologies,User Experience (UX) Designer,NA,"Job Purpose Experienced UX Designer to work on Web, Android and iOS platforms. Translate client business requirements, user needs, technical requirements into designs that are...",4 - 15 yrs,2020-10-31
100,CONNECTING 2 WORK,Marketing Executive,NA,Job Description Job DescriptionMarketing executives develop and oversee marketing campaigns to promote products and services. The role of a marketing executive can encompass c...,0 - 3 yrs,2020-10-31
101,CONNECTING 2 WORK,Marketing/ Sales Executive,NA,Job Description Job brief We are looking for a talented Marketing/ Sales Executive to undertake marketing projects for the benefit of our company. You will organize creative c...,0 - 3 yrs,2020-10-31
102,BP Incorporate,franchisee  onlineJobs ECOMMERCE BRAND earn1.2lakh pm,Rs 1.20 - 15.50 Lacs p.a.,franchisee REQUIREMENTSonspotoffer call 7291078357 pinnacle franchisee online store 100+ online ecommerce brand largest e-commerce marketplace. provides a platform for vendors...,0 - 3 yrs,2020-10-31
103,S M Placement,Supply Chain Manager,Rs 5.00 - 30.00 Lacs p.a.,"Job brief:We are looking for an experienced supply chain manager to ensure our supply chain and logistics operations function properly. In this role, you ll collaborate with o...",4 - 9 yrs,2020-10-31
104,Aspire ERP Systems,Openings In MNC Life Insurance Company,Rs 2.50 - 2.80 Lacs p.a.,"Dear Candidate, To apply Below Job Please Call or Whatsapp your CVs on 8805533553 We have opening with Parole Job at Managerial Level. Profile : TEAM HANDLING PROFILE, FIRST T...",3 - 8 yrs,2020-10-31
105,S M Placement,Director of Maintenance,NA,Job Description We are looking for an Facility Coordinator who can work with our company to fulfill the organizational goal and growth. Responsibilities The roles and responsi...,5 - 10 yrs,2020-10-31
106,BP Incorporate,freelancer HR Recruiter/coordinator on spot offer,Rs 0.50 - 40.00 Lacs p.a.,target minimum1 recruitment permonth  call pinnacle group 7291078357payout 15000per recruitment weekly Recruitment of suitable candidate for various FREELANCER requirements. l...,7 - 12 yrs,2020-10-31
107,TECHNOPARK TRIVANDRUM,React Native Developer,NA,React Native DeveloperBrief description :We are looking for React Native developers who are interested in building performant mobile apps on both the iOS and Android platforms...,2 - 5 yrs,2020-10-30
108,TECHNOPARK TRIVANDRUM,Senior Solution Architect,NA,"Brief description :Responsibilities:Develop applications that are performant and meet the requirements of the client utilizing Flask / Python or Java.Architect, analyze, and l...",12 - 15 yrs,2020-10-30
109,TECHNOPARK TRIVANDRUM,Sales & Marketing Manager,NA,"Brief description :1. Involvement in sales process management, marketing, product promotions, market research, sales training, channel marketing, team building and leadership,...",5 - 8 yrs,2020-10-30
110,TECHNOPARK TRIVANDRUM,PCB Developer,NA,"Brief description :1. Good knowledge in Hardware Architecture,Component Selection,Technical & Design Documentation,Circuit Design & Verification,Final Design Verificat...",2 - 3 yrs,2020-10-30
111,TECHNOPARK TRIVANDRUM,Front-end Developer,NA,"Brief description :- Proficiency in fundamental front-end technologies such as HTML, CSS, JavaScript, and ES6.- Excellent knowledge and experience with JS frameworks such as A...",3 - 6 yrs,2020-10-30
112,TECHNOPARK TRIVANDRUM,SENIOR PHP DEVELOPER,NA,Brief description :1. Develop Web Applications using php frameworks2. Creating database design and implementation using MYSQL3. Develop Ecommerce platform with customised requ...,5 - 8 yrs,2020-10-30
113,TECHNOPARK TRIVANDRUM,Research Analyst Marketing,NA,Research Analyst MarketingBrief description :Monitor and forecast marketing and sales trends.Measure the effectiveness of marketing programs and strategies.Devise and evaluate...,0 - 3 yrs,2020-10-30
114,TECHNOPARK TRIVANDRUM,Senior Software Quality Test Engineer,NA,"Senior Software Quality Test EngineerBrief description :Minimum 3 years work experience as Software Test Engineer.Experience in Web application, Web Service testing, Mobile Ap...",3 - 6 yrs,2020-10-30
115,TECHNOPARK TRIVANDRUM,ReactJS Developer,NA,ReactJS Developer Your primary focus will be on developing user interface components and implementing them following well-known React.js workflows such as Redux You will ensur...,2 - 5 yrs,2020-10-30
116,Techonz,Accounts Executive,NA,"Responsibilities He shall be responsible preparing Financial Statement, Service Tax, Income Tax and other Statuary ComplianceKnowledge and ability in the use of a personal com...",0 - 3 yrs,2020-10-30
117,Techonz,Pre Sales Executives,NA,"Responsibilities Handle official calls, e-mail enquiries on Company services from within the office. Proposal writing/ Costing/ Negotiations, follow up, Cold Calling.Desired P...",1 - 4 yrs,2020-10-30
118,Techonz,Business Development Executives,NA,Responsibilities The Business Development Executive will be part of the commercial team to connect with clients for the following:Responsible to identify prospects  Through me...,1 - 4 yrs,2020-10-30
119,Techonz,Android Developers,NA,"Required Skills Design and build advanced applications for the Android platformWork on bug fixing and improving application performanceContinuously discover, evaluate, and imp...",1 - 4 yrs,2020-10-30
120,Techonz,iPhone Developers,NA,Required Skills Comprehensive knowledge of Objective CSubstantial experience in iPhone application developmentSound knowledge of Mac OSDesired Profile Expertise in i-Phone dev...,1 - 4 yrs,2020-10-30
121,Techonz,.NET Developers,NA,"Required Skills Should have good experience of .NET platform using ASP .NET, C  , VB.NET, JQUERY.Desired Profile Minimum 1  years of experience as a .NET DeveloperOn time exec...",1 - 4 yrs,2020-10-30
122,Techonz,Jr.PHP Developers,NA,"Required Skills Designing and developing of applications using PHP, frameworks, CMS (Drupal/ WordPress/ Joomla), E-commerce (osCommerce, Magento,Vitruemart) and CRMs. Ensure t...",1 - 4 yrs,2020-10-30
