,Company Name,Job Role,Salary,Job Decription,Department,Required Exp,posted_date,web_link
10,GM Hr services,"H.R, Admin,Data entry, back office,",NA,"Dear Candidate,Greetings of the day!We are Opening for

 

Data Entry Operator responsibilities include: Entering customer and account data from source documents within time limits. Compiling, verifying accuracy and sorting information to prepare source data for computer entry. Reviewing  deficiencies or errors, correcting any incompatibilities and checking outputContract And WhatsApp Number. 7071921115. Hr. MR SANJAY  Regards,HR Team",Data Entry,1 to 5 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/hr-admindata-entry-back-office/gm-hr-services/11065470/
11,Ontrack Placement Services,Assistant Accountant,NA,"The successful candidate in this role will be required to work in our Barhale Response mechanical and electrical joint venture, carrying out both accounts and administrative roles to support the Managing Director as the Business seeks growth opportunities. They will support the Business and provide assistance and management information to the management team. The post-holder will need to be experienced in both accounts and general administration duties. This role is based in Walsall with some limited travel required, and is part time at 25 hours per week. Key Responsibilities: Accounts duties Maintain the books and records of the business Be accountable for financial reporting to strict monthly deadlines Explain variances to plan/forecast with proposals for corrective action Develop and monitor of the financial KPIs of the business Carry out month/year end reporting including preparation and review of management reports for internal and external distribution Prepare budgets Review balance sheet control account reconciliations Ensure compliance General administration Support the Managing Director with diary and travel management Provide administrative support for the senior management team",Mainframe,2 to 7 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/assistant-accountant/ontrack-placement-services/11065081/
12,Kamboj Jobs Hiring For Castrol India Limited,Geophysicist Analysis,NA,"Geophysicist (580445 - Temporary)Research & Development - Houston, TX - TemporaryBasic FunctionPerform geoscience research, analysis, and innovation within a multidisciplinary team to solve exploration and production problems. More specifically, the research objective is to do inversion of VSP DAS and geophone data for rock density and velocity using synthetic and field data, demonstrate the reduction of posterior uncertainty as a function of resolution, and to compare the information contents between conventional geophone and DAS data.Duties & Responsibilities",General / Operations Management,1 to 6 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/geophysicist-analysis/kamboj-jobs/11064885/
13,TECHNOS DATA SOLUTION,"part time Offline Typing /Online Typing /Work From Home ,Data Entry",Rs 2.0  - 6 Lakh/Yr,"HELLO DEAR CANDIDATE PART TIME JOBS IN CHENNAI FOR MALE (OR) FEMALE (OR) FRESHERS (OR) STUDENTS. We are into data entry field and we are hiring freelancers and other candidates who are really interested to make good income by working from their home to & interested candidate who can work from home to complete the given work on time with out fail. candidates or freelancers should have their own laptop / desktop to work on the given project, candidates or freelancers must know English knowledge and must have basic computer knowledge like MS OFFICE (WORD, EXCEL), you can work on flexible timing according to your convenience but should complete the work on time. We are seeking for both freshers & experienced data entry operators who actually strive hard and work to make good income irrespective of their other source of income.JOB TYPE :- WORK FROM HOME | FULL TIME | PART TIME .Qualifications-12th PassMinimum Experience : 0 yearsMaximum Experience : 3 yearscall for more details contact to:Interested candidates kindly contact at -7408399840 (hr. NIDHI )thanks,HR.  NIDHI ( 7408399840 )  ",Data Entry,0 to 3 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/part-time-offline-typing-online-typing-work-from-home-data-entry/technos-data-solution/11064730/
14,TECHNOS DATA SOLUTION,Part Time -Data Entry-Work From Home-typing  home based work for all,Rs 2.0  - 6 Lakh/Yr,"Dear CandidatesFresher /Computer Operator/ Data Entry Executive/Online Data Entry / Data Entry Operator / Data Base Administrator / Data Entry Officer/DEo/Back Office Executive/ Data Entry Executive  Easy Online & Offline Work From Home Home Based Data Entry Full Time & Part-Time JOb Age Qualification No Bar Any Graduate/Post Graduate Salary-30K To 55K Fresher Also Welcome Fluent in any one language. Basic Computer Knowledge. Most Important:Laptop or System or Tab Android phone Skilled in Microsoft Excel : Not RequiredPassport : Not RequiredDo you have laptop/ desktop : Laptop,DesktopEducation : 12th passLanguages known : English ,Hindicall & whats-app for more details- 9310212872 THANKS,HR .  YOGITA9310212872  ",Data Entry,0 to 4 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/part-time-data-entry-work-from-home-typing-home-based-work-for-all/technos-data-solution/11064591/
15,Risika Softech Solutions,Executive Required For Part Time Typing Project Earn Up To 40K P.M Call Ayat,Rs 1.0  - 6 Lakh/Yr,"RISIKA SOFTECH SOLUTIONS (CERTIFIED BY ISO 9001:2015, IAF, MSME, SSL )We Outsource Part Time - Full Time / Freelance Data Entry Job (Home based Jobs) Job Responsibility : User Need to maintain database without any failure and update company weekly . Benefits :No Experience Required .Fresher's are welcome .No Time Boundation to work.Work Any Time in 24X7 .All are Target less projects .Projects are Easy to understand .Easy Payout Option Job Details :1 ) Data Typing ProjectSalary : Rs.10000/- To Rs. 50000/- PMProject : 2 in a monthVacancy : 052 ) Excel Numeric Entry ProjectSalary : Rs.10000/- To Rs. 80000/- PMProject : 2 in a monthVacancy : 103 ) 12 Box Form Filling ProjectSalary : Rs.10000/- To Rs. 30000/- PMProject : 2 in a monthVacancy : 54 ) Manual Handwriting ProjectSalary : Rs.10000/- To Rs. 120000/- PMProject : 2 in a monthVacancy : 5 Contact Ms. Ayat Noor @ 9163982236 Note : One who is willing to take this Work must have time to spend at least 2 to 4 Hrs on this project . We don't have any shortcut policy to Earn high income. ",Data Entry,0 to 3 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/executive-required-for-part-time-typing-project-earn-up-to-k-pm-call-ayat/risika-softech-solutions/10965093/
16,Risika Softech Solutions,Backend Executive Req. for Excel Project Earn 40K Call Ayat,Rs 1.0  - 6 Lakh/Yr,"RISIKA SOFTECH SOLUTIONS (CERTIFIED BY ISO 9001:2015, IAF, MSME, SSL )We Outsource Part Time - Full Time / Freelance Data Entry Job (Home based Jobs) Job Responsibility : User Need to maintain database without any failure and update company weekly . Benefits :No Experience Required .Fresher's are welcome .No Time Boundation to work.Work Any Time in 24X7 .All are Target less projects .Projects are Easy to understand .No Penalty for Not Completing Work . Job Details :1 ) Data Typing ProjectSalary : Rs.10000/- To Rs. 50000/- PMProject : 2 in a monthVacancy : 052 ) Excel Numeric Entry ProjectSalary : Rs.10000/- To Rs. 80000/- PMProject : 2 in a monthVacancy : 153 ) 12 Box Form Filling ProjectSalary : Rs.10000/- To Rs. 30000/- PMProject : 2 in a monthVacancy : 154 ) Manual Handwriting ProjectSalary : Rs.10000/- To Rs. 120000/- PMProject : 2 in a monthVacancy : 15 Contact Ms. Ayat Noor @ 9163982236 Note : One who is willing to take this Work must have time to spend at least 2 to 4 Hrs on this project . We don't have any shortcut policy to Earn high income.",Back Office Operations,0 to 3 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/backend-executive-req-for-excel-project-earn-k-call-ayat/risika-softech-solutions/11054481/
17,MPR India Technologies Hiring For Edelweis Tokio Life Insurance co ltd,Chief Business Manager,Rs 2.0  - 5 Lakh/Yr,"Hi All,We have opening for CBM/MCBM  @ Edelweiss Tokio Life Insurance co ltd , Chennai,Madurai,coimbatore,Thiruvananthapuram,ThrissurJobPurposeRecruitment,management and supervision of Chief Business Mentors(CBMs)andPersonalFinancialAdvisors(PFAs)ofCBMstohelp theminachievingtheirfinancialgoals,therebygeneratingbusinessforthe Company.KeyResponsibilitiesRecruit,engageandlaunchCBMsEnsurethatCBMsrecruit,appointandtrainPFAsEnsurethatCBMsworktowardshelpingtheirPFAsachievebusinesstargetsEnsurethatPFAsofCBMshaveahealthypersistencyExperienceandPreferencesMinimum6yearsworkexperiencewith3-4yearsexperienceinsaleoflifeinsuranceproductsPastexperienceinmanagingHighPerformingLIagents(MDRTs/COTs/TOTs/ClubsMembers)Experienceinmanagingandsupervisingteamsofatleast3to5personsFunctionalCompetenciesAbilitytoimpartknowledgeinsourcinghighprofiledistributorsofinsurance/financialproductsAbilitytoimpartskillsontrainingtheirPFAsoninsuranceconcepts,productsandclosureofcallsAbilitytoguideCBMsonfinancialconceptswithspecialemphasisoninsuranceproductsBasicknowledgeofcomputersandMicrosoftOffice(excel/word/ppt)Fixed Salary + Conveyance allowance + Direct Business Income+ Foreign Travel+ Own Business Opportunity.Job RequirementsQualifications : Any Degree/ Diploma/Masters.Pls share your updated resume to mprindiatech@gmail.com/hr@mprindiatech.comalso let us know present & Expected CTC and Notice Period.RgdsTeam -Human ResourceMPR india Technologies    ",Sales / BD,2 to 7 Yrs," Oct 27, 2020
                                ",https://www.shine.com/jobs/chief-business-manager/mpr-india-technologies/11056865/
18,Shashi Carreer Zone Hiring For Nestle India Ltd,"Back office executive,Sales marketing & logistic department in fmcg company",Rs 2.0  - 5 Lakh/Yr,"Dear CandidatesWe Recruit for Nestle India  Ltd.Nestl India Limited, is the Indian subsidiary of Nestle which is a Swiss multinational company. The company is headquartered in Gurgaon, Haryana. The company's products include food, beverages, chocolate, and confectioneriesJob Profile- Sales & Marketing, Back Office Operation, Supply Chain, Logistic Department and Production Quality Maintenancefor more  information immediate contact Manishacontact mobile no 9540248794(whatsup)calling time 10 am to 6pm SALARY-15k to 70k (Depends on your interview and experience)Location:- All over India location in many cities.Experience- Fresher and experienced both can contactMale & Female both are RequiredWorking Time- 10 am to 6 pmMonday to Saturday 6 Days workingResponsibility and Duties;-Develop and succeed high performing and result driven team members.Understand and manage Product Knowledge and be responsible for Store Team Members.Assure functionality of Domestic and International training programs.Assess customer profiles, buying trends and competitive information to drive business.Supervise loss prevention education, training and awareness programs.Assume responsibility for loss prevention compliance within store.Exceed Inventory and Shrink goals and maintain bi-annual Physical Inventory.Implement and process incoming and outgoing merchandise.Communicate merchandise opportunities to Store Manager.Manage strong communication with Brand Advocate.Engage in new store openings and closings.Work non-traditional hours on weekends and holidays.Salary- 15000/- to 70000/-Qualification- 10th 12th graduation ma, mscworking time- 10 am to 6pm (Monday to Saturday)for more information immediate contact Manishacontact mobile no 9540248794(whatsup)calling time 10 am to 6pm ",Back Office Operations,0 to 4 Yrs," Oct 26, 2020
                                ",https://www.shine.com/jobs/back-office-executivesales-marketing-logistic-department-in-fmcg-company/shashi-carreer-zone/11063702/
19,TECHNOS DATA SOLUTION,requirement for part time English typing work & handwriting work,Rs 2.0  - 6 Lakh/Yr,"Dear CandidatesFresher /Computer Operator/ Data Entry Executive/Online Data Entry / Data Entry Operator / Data Base Administrator / Data Entry Officer/DEo/Back Office Executive/ Data Entry Executive  Easy Online & Offline Work From Home Home Based Data Entry Full Time & Part-Time JOb Age Qualification No Bar Any Graduate/Post Graduate Salary-30K To 55K Fresher Also Welcome Fluent in any one language. Basic Computer Knowledge. Most Important:Laptop or System or Tab Android phoneWe Are Offering Work From Home based Jobs To All Age Groups.Max Experience : 4 yrsMin Experience : 0 yrsSkilled in Microsoft Excel : Not RequiredPassport : Not RequiredDo you have laptop/ desktop : Laptop,DesktopEducation : 12th passLanguages known : English ,Hindicall & whats-app for more details- 7408399840 THANKS,HR . nidhi  ",Data Entry,0 to 4 Yrs," Oct 26, 2020
                                ",https://www.shine.com/jobs/requirement-for-part-time-english-typing-work-handwriting-work/technos-data-solution/11063549/
